code,name,description,is_active
DAK,Dana Alokasi Khusus,,1
APBD,Anggaran Pendapatan Belanja Daerah,,1
BOK,Bantuan Operasional Kesehatan,,1
JKN,Jaminan Kesehatan Nasional,,1
HIBAH,Hibah/Donasi,,1
BOS,Bantuan Operasional Sekolah,,1
